Brand,Price,Horsepower,Fuel Efficiency,Encoded_Brand,Scaled_Horsepower,Scaled_Fuel_Efficiency,Scaled_Brand,Performance_Index
Brand D,47458,0.72,0.5920000000000001,9,0.72,0.5920000000000001,1.0,0.42624000000000006
Brand E,61479,0.605,0.492,2,0.605,0.492,0.125,0.29766
Brand X,87307,0.97,0.16799999999999993,8,0.97,0.16799999999999993,0.875,0.16295999999999994
Brand D,71988,0.6075,0.244,9,0.6075,0.244,1.0,0.14823
Brand E,58456,0.09500000000000003,0.8040000000000002,2,0.09500000000000003,0.8040000000000002,0.125,0.07638000000000005
Brand X,66884,0.7225,0.9600000000000001,8,0.7225,0.9600000000000001,0.875,0.6936000000000001
Brand C,46162,0.7925,0.624,6,0.7925,0.624,0.625,0.49452
Brand X,77816,0.25,0.10399999999999998,8,0.25,0.10399999999999998,0.875,0.025999999999999995
Brand E,99746,0.7925,0.10399999999999998,2,0.7925,0.10399999999999998,0.125,0.08241999999999998
Brand C,34281,0.7425,0.9559999999999998,6,0.7425,0.9559999999999998,0.625,0.70983
Brand B,49012,0.375,0.7240000000000001,5,0.375,0.7240000000000001,0.5,0.2715
Brand X,71598,0.68,0.388,8,0.68,0.388,0.875,0.26384
Brand B,49863,0.8725,0.576,5,0.8725,0.576,0.5,0.50256
Brand W,91999,0.94,0.608,1,0.94,0.608,0.0,0.5715199999999999
Brand B,55450,0.21500000000000002,0.9,5,0.21500000000000002,0.9,0.5,0.19350000000000003
Brand A,38366,0.3325,0.15600000000000003,4,0.3325,0.15600000000000003,0.375,0.05187000000000001
Brand C,69103,0.08000000000000002,0.236,6,0.08000000000000002,0.236,0.625,0.01888
Brand C,31700,0.22750000000000004,0.88,6,0.22750000000000004,0.88,0.625,0.20020000000000004
Brand D,70482,0.935,0.92,9,0.935,0.92,1.0,0.8602000000000001
Brand W,72835,0.36,0.86,1,0.36,0.86,0.0,0.3096
Brand W,35571,0.635,0.62,1,0.635,0.62,0.0,0.3937
Brand X,37908,0.26249999999999996,0.17600000000000005,8,0.26249999999999996,0.17600000000000005,0.875,0.046200000000000005
Brand A,49095,0.2425,0.264,4,0.2425,0.264,0.375,0.06402000000000001
Brand A,98767,0.5750000000000001,0.01200000000000001,4,0.5750000000000001,0.01200000000000001,0.375,0.006900000000000007
Brand W,33667,0.4575,0.7080000000000001,1,0.4575,0.7080000000000001,0.0,0.32391000000000003
Brand C,47868,0.135,0.19599999999999995,6,0.135,0.19599999999999995,0.625,0.026459999999999994
Brand Y,32684,0.30500000000000005,0.7559999999999999,3,0.30500000000000005,0.7559999999999999,0.25,0.23058
Brand Z,95983,0.4275,0.384,7,0.4275,0.384,0.75,0.16416
Brand X,89267,0.26,0.596,8,0.26,0.596,0.875,0.15496
Brand X,33850,0.77,0.82,8,0.77,0.82,0.875,0.6314
Brand W,84671,0.13,0.26,1,0.13,0.26,0.0,0.033800000000000004
Brand W,54081,0.28,0.31999999999999995,1,0.28,0.31999999999999995,0.0,0.0896
Brand C,57404,0.6425000000000001,0.9680000000000001,6,0.6425000000000001,0.9680000000000001,0.625,0.6219400000000002
Brand Z,76085,0.9425000000000001,0.23199999999999998,7,0.9425000000000001,0.23199999999999998,0.75,0.21866000000000002
Brand E,94629,0.7849999999999999,0.612,2,0.7849999999999999,0.612,0.125,0.48041999999999996
Brand C,39722,0.7875000000000001,0.007999999999999952,6,0.7875000000000001,0.007999999999999952,0.625,0.006299999999999963
Brand Z,75163,0.19,0.31599999999999995,7,0.19,0.31599999999999995,0.75,0.06003999999999999
Brand A,82723,0.1875,0.628,4,0.1875,0.628,0.375,0.11775
Brand D,69648,0.355,0.9600000000000001,9,0.355,0.9600000000000001,1.0,0.3408
Brand B,36457,0.04749999999999999,0.852,5,0.04749999999999999,0.852,0.5,0.040469999999999985
Brand D,73006,0.1875,0.576,9,0.1875,0.576,1.0,0.10799999999999998
Brand E,58809,0.9675,0.33599999999999997,2,0.9675,0.33599999999999997,0.125,0.32508
Brand C,60421,0.9299999999999999,0.832,6,0.9299999999999999,0.832,0.625,0.7737599999999999
Brand B,60815,0.6075,0.404,5,0.6075,0.404,0.5,0.24543000000000004
Brand Y,82142,0.8075000000000001,0.45999999999999996,3,0.8075000000000001,0.45999999999999996,0.25,0.37145
Brand Y,99304,0.8725,0.632,3,0.8725,0.632,0.25,0.55142
Brand C,67139,0.24,0.2759999999999999,6,0.24,0.2759999999999999,0.625,0.06623999999999998
Brand X,72244,0.27249999999999996,0.28,8,0.27249999999999996,0.28,0.875,0.07629999999999999
Brand D,81681,0.09250000000000003,0.33999999999999997,9,0.09250000000000003,0.33999999999999997,1.0,0.031450000000000006
Brand X,96377,0.0050000000000000044,0.08399999999999996,8,0.0050000000000000044,0.08399999999999996,0.875,0.0004200000000000002
Brand X,96461,0.28500000000000003,0.7400000000000001,8,0.28500000000000003,0.7400000000000001,0.875,0.21090000000000006
Brand W,49762,0.07,0.9600000000000001,1,0.07,0.9600000000000001,0.0,0.06720000000000001
Brand E,34119,0.8825000000000001,0.30400000000000005,2,0.8825000000000001,0.30400000000000005,0.125,0.2682800000000001
Brand A,48537,0.2025,0.5359999999999999,4,0.2025,0.5359999999999999,0.375,0.10854
Brand X,94739,0.7025,0.512,8,0.7025,0.512,0.875,0.35968
Brand Y,41256,0.9450000000000001,0.43200000000000005,3,0.9450000000000001,0.43200000000000005,0.25,0.40824000000000005
Brand D,80533,0.30000000000000004,0.7320000000000001,9,0.30000000000000004,0.7320000000000001,1.0,0.21960000000000007
Brand D,71517,0.7325,0.9680000000000001,9,0.7325,0.9680000000000001,1.0,0.7090600000000001
Brand A,73334,0.7650000000000001,0.17200000000000004,4,0.7650000000000001,0.17200000000000004,0.375,0.13158000000000006
Brand W,50421,0.405,0.09200000000000003,1,0.405,0.09200000000000003,0.0,0.037260000000000015
Brand B,48526,0.855,0.14400000000000002,5,0.855,0.14400000000000002,0.5,0.12312000000000001
Brand Y,72626,0.8500000000000001,0.44400000000000006,3,0.8500000000000001,0.44400000000000006,0.25,0.37740000000000007
Brand Y,60759,0.09500000000000003,0.7679999999999999,3,0.09500000000000003,0.7679999999999999,0.25,0.07296000000000001
Brand A,33431,0.5675,0.92,4,0.5675,0.92,0.375,0.5221
Brand D,64870,0.39749999999999996,0.868,9,0.39749999999999996,0.868,1.0,0.34502999999999995
Brand B,70915,0.6875,0.7759999999999999,5,0.6875,0.7759999999999999,0.5,0.5335
Brand D,35527,0.25750000000000006,0.9600000000000001,9,0.25750000000000006,0.9600000000000001,1.0,0.2472000000000001
Brand A,38953,0.05249999999999999,0.636,4,0.05249999999999999,0.636,0.375,0.033389999999999996
Brand W,49106,0.7325,0.11599999999999999,1,0.7325,0.11599999999999999,0.0,0.08497
Brand W,50976,0.625,0.7879999999999999,1,0.625,0.7879999999999999,0.0,0.49249999999999994
Brand W,88322,0.6775,0.868,1,0.6775,0.868,0.0,0.58807
Brand Y,99437,0.66,0.124,3,0.66,0.124,0.25,0.08184000000000001
Brand W,66089,0.08250000000000002,0.20399999999999996,1,0.08250000000000002,0.20399999999999996,0.0,0.01683
Brand B,51585,0.68,0.30000000000000004,5,0.68,0.30000000000000004,0.5,0.20400000000000004
Brand Z,61643,0.265,0.248,7,0.265,0.248,0.75,0.06572
Brand B,40277,0.41000000000000003,0.652,5,0.41000000000000003,0.652,0.5,0.26732000000000006
Brand E,49230,0.40249999999999997,0.5279999999999999,2,0.40249999999999997,0.5279999999999999,0.125,0.21251999999999996
Brand D,99979,0.6725,0.7279999999999999,9,0.6725,0.7279999999999999,1.0,0.4895799999999999
Brand A,52740,0.505,0.7640000000000001,4,0.505,0.7640000000000001,0.375,0.38582000000000005
Brand D,95643,0.15000000000000002,0.043999999999999984,9,0.15000000000000002,0.043999999999999984,1.0,0.006599999999999998
Brand E,71590,0.6225,0.43599999999999994,2,0.6225,0.43599999999999994,0.125,0.27141
Brand D,33755,0.37250000000000005,0.9919999999999999,9,0.37250000000000005,0.9919999999999999,1.0,0.36952
Brand Y,41844,0.07500000000000001,0.06799999999999995,3,0.07500000000000001,0.06799999999999995,0.25,0.005099999999999997
Brand Y,80517,0.16749999999999998,0.32799999999999996,3,0.16749999999999998,0.32799999999999996,0.25,0.05493999999999999
Brand W,49461,0.5025000000000001,0.1479999999999999,1,0.5025000000000001,0.1479999999999999,0.0,0.07436999999999996
Brand E,30667,0.34750000000000003,0.19999999999999996,2,0.34750000000000003,0.19999999999999996,0.125,0.06949999999999999
Brand A,91753,0.24,0.62,4,0.24,0.62,0.375,0.1488
Brand B,78913,0.74,0.66,5,0.74,0.66,0.5,0.4884
Brand C,79572,0.8875,0.68,6,0.8875,0.68,0.625,0.6035
Brand Y,82088,0.5525,0.908,3,0.5525,0.908,0.25,0.5016700000000001
Brand D,63779,0.9950000000000001,0.9719999999999999,9,0.9950000000000001,0.9719999999999999,1.0,0.96714
Brand A,30024,0.6225,0.236,4,0.6225,0.236,0.375,0.14691
Brand A,53227,0.8775,0.676,4,0.8775,0.676,0.375,0.59319
Brand Y,49842,0.78,0.17999999999999994,3,0.78,0.17999999999999994,0.25,0.14039999999999997
Brand X,58314,0.30500000000000005,0.09999999999999998,8,0.30500000000000005,0.09999999999999998,0.875,0.0305
Brand A,73887,0.7675000000000001,0.019999999999999962,4,0.7675000000000001,0.019999999999999962,0.375,0.015349999999999973
Brand Y,55940,0.77,0.652,3,0.77,0.652,0.25,0.50204
Brand D,40672,0.22000000000000003,0.7240000000000001,9,0.22000000000000003,0.7240000000000001,1.0,0.15928000000000003
Brand E,79349,0.815,0.348,2,0.815,0.348,0.125,0.28362
Brand C,52431,0.745,0.352,6,0.745,0.352,0.625,0.26224
Brand X,56322,0.3125,0.17200000000000004,8,0.3125,0.17200000000000004,0.875,0.05375000000000001
Brand C,31816,0.6900000000000001,0.07600000000000001,6,0.6900000000000001,0.07600000000000001,0.625,0.052440000000000014
Brand B,98141,0.78,0.876,5,0.78,0.876,0.5,0.68328
Brand B,97568,0.7000000000000001,0.15600000000000003,5,0.7000000000000001,0.15600000000000003,0.5,0.10920000000000003
Brand X,62821,0.375,0.016000000000000014,8,0.375,0.016000000000000014,0.875,0.006000000000000005
Brand A,47132,0.010000000000000009,0.9559999999999998,4,0.010000000000000009,0.9559999999999998,0.375,0.009560000000000008
Brand E,68470,0.1725,0.42000000000000004,2,0.1725,0.42000000000000004,0.125,0.07245
Brand Y,45260,0.8600000000000001,0.7799999999999999,3,0.8600000000000001,0.7799999999999999,0.25,0.6708
Brand D,49157,0.7575000000000001,0.248,9,0.7575000000000001,0.248,1.0,0.18786000000000003
Brand D,36278,0.9375,0.32799999999999996,9,0.9375,0.32799999999999996,1.0,0.30749999999999994
Brand X,74454,0.08250000000000002,0.16399999999999992,8,0.08250000000000002,0.16399999999999992,0.875,0.013529999999999997
Brand Z,65710,0.07,0.43999999999999995,7,0.07,0.43999999999999995,0.75,0.030799999999999998
Brand X,52075,0.45999999999999996,0.848,8,0.45999999999999996,0.848,0.875,0.39008
Brand Y,66531,0.7025,0.043999999999999984,3,0.7025,0.043999999999999984,0.25,0.03090999999999999
Brand A,46753,0.7975000000000001,0.30000000000000004,4,0.7975000000000001,0.30000000000000004,0.375,0.23925000000000007
Brand E,36102,0.52,0.20399999999999996,2,0.52,0.20399999999999996,0.125,0.10607999999999998
Brand E,51627,0.4225,0.5159999999999999,2,0.4225,0.5159999999999999,0.125,0.21800999999999995
Brand W,83049,0.185,0.9400000000000001,1,0.185,0.9400000000000001,0.0,0.1739
Brand E,45201,0.8175000000000001,0.868,2,0.8175000000000001,0.868,0.125,0.70959
Brand C,44911,0.16500000000000004,0.88,6,0.16500000000000004,0.88,0.625,0.14520000000000002
Brand C,51087,0.04249999999999998,0.936,6,0.04249999999999998,0.936,0.625,0.03977999999999999
Brand A,77227,0.21250000000000002,0.472,4,0.21250000000000002,0.472,0.375,0.1003
Brand X,88092,0.8200000000000001,0.16799999999999993,8,0.8200000000000001,0.16799999999999993,0.875,0.13775999999999994
Brand E,90663,0.10000000000000003,0.652,2,0.10000000000000003,0.652,0.125,0.06520000000000002
Brand E,70215,0.19,0.7320000000000001,2,0.19,0.7320000000000001,0.125,0.13908
Brand Z,43713,0.59,0.916,7,0.59,0.916,0.75,0.54044
Brand X,79645,0.22999999999999998,0.24,8,0.22999999999999998,0.24,0.875,0.05519999999999999
Brand Y,38803,0.8,0.624,3,0.8,0.624,0.25,0.49920000000000003
Brand A,45787,0.32000000000000006,0.7159999999999999,4,0.32000000000000006,0.7159999999999999,0.375,0.22912
Brand B,64143,0.6175,0.6,5,0.6175,0.6,0.5,0.3705
Brand Y,47139,0.235,0.856,3,0.235,0.856,0.25,0.20115999999999998
Brand Z,46302,0.7075,0.11599999999999999,7,0.7075,0.11599999999999999,0.75,0.08206999999999999
Brand W,34830,0.5375,0.928,1,0.5375,0.928,0.0,0.4988
Brand Z,56555,0.25,0.844,7,0.25,0.844,0.75,0.211
Brand C,86313,0.7175,0.17600000000000005,6,0.7175,0.17600000000000005,0.625,0.12628000000000003
Brand Y,83440,0.38,0.18799999999999994,3,0.38,0.18799999999999994,0.25,0.07143999999999998
Brand Z,44961,0.9275,0.9,7,0.9275,0.9,0.75,0.83475
Brand W,64475,0.6425000000000001,0.848,1,0.6425000000000001,0.848,0.0,0.54484
Brand B,63805,0.49,0.236,5,0.49,0.236,0.5,0.11563999999999999
Brand E,71848,0.9299999999999999,0.404,2,0.9299999999999999,0.404,0.125,0.37572
Brand D,35720,0.29500000000000004,0.504,9,0.29500000000000004,0.504,1.0,0.14868000000000003
Brand X,57401,0.535,0.848,8,0.535,0.848,0.875,0.45368
Brand Z,32510,0.26749999999999996,0.9719999999999999,7,0.26749999999999996,0.9719999999999999,0.75,0.2600099999999999
Brand E,83063,0.7925,0.124,2,0.7925,0.124,0.125,0.09827
Brand C,44528,0.34750000000000003,0.252,6,0.34750000000000003,0.252,0.625,0.08757000000000001
Brand D,31065,0.7625,0.19599999999999995,9,0.7625,0.19599999999999995,1.0,0.14944999999999994
Brand X,84752,0.7425,0.848,8,0.7425,0.848,0.875,0.62964
Brand Z,32209,0.8049999999999999,0.9,7,0.8049999999999999,0.9,0.75,0.7244999999999999
Brand Y,51984,0.1925,0.9880000000000001,3,0.1925,0.9880000000000001,0.25,0.19019000000000003
Brand D,37992,0.605,0.648,9,0.605,0.648,1.0,0.39204
Brand B,69943,0.43500000000000005,0.23199999999999998,5,0.43500000000000005,0.23199999999999998,0.5,0.10092000000000001
Brand X,59626,0.4125,0.5479999999999999,8,0.4125,0.5479999999999999,0.875,0.22604999999999997
Brand E,31282,0.95,0.5840000000000001,2,0.95,0.5840000000000001,0.125,0.5548000000000001
Brand W,76374,1.0,0.652,1,1.0,0.652,0.0,0.652
Brand B,36798,0.9025000000000001,0.876,5,0.9025000000000001,0.876,0.5,0.7905900000000001
Brand E,86743,0.195,0.476,2,0.195,0.476,0.125,0.09282
Brand D,72522,0.43000000000000005,0.09999999999999998,9,0.43000000000000005,0.09999999999999998,1.0,0.043
Brand Y,59179,0.7525,0.3640000000000001,3,0.7525,0.3640000000000001,0.25,0.27391000000000004
Brand E,88828,0.5425,0.24,2,0.5425,0.24,0.125,0.13019999999999998
Brand W,34099,0.7375,0.09600000000000003,1,0.7375,0.09600000000000003,0.0,0.07080000000000003
Brand X,54533,0.2025,0.22799999999999998,8,0.2025,0.22799999999999998,0.875,0.046169999999999996
Brand A,70835,0.505,0.06,4,0.505,0.06,0.375,0.0303
Brand D,96273,0.5425,0.016000000000000014,9,0.5425,0.016000000000000014,1.0,0.008680000000000007
Brand X,52627,0.8275000000000001,0.7400000000000001,8,0.8275000000000001,0.7400000000000001,0.875,0.6123500000000002
Brand D,60078,0.03750000000000003,0.01200000000000001,9,0.03750000000000003,0.01200000000000001,1.0,0.0004500000000000008
Brand W,83011,0.6225,0.7479999999999999,1,0.6225,0.7479999999999999,0.0,0.46563
Brand C,51934,0.8825000000000001,0.7200000000000001,6,0.8825000000000001,0.7200000000000001,0.625,0.6354000000000001
Brand Z,83121,0.9550000000000001,0.019999999999999962,7,0.9550000000000001,0.019999999999999962,0.75,0.019099999999999964
Brand X,76878,0.8049999999999999,0.16399999999999992,8,0.8049999999999999,0.16399999999999992,0.875,0.13201999999999992
Brand C,93627,0.44500000000000006,0.9759999999999999,6,0.44500000000000006,0.9759999999999999,0.625,0.43432
Brand A,91729,0.5625,0.392,4,0.5625,0.392,0.375,0.2205
Brand C,95216,0.11499999999999999,0.33599999999999997,6,0.11499999999999999,0.33599999999999997,0.625,0.038639999999999994
Brand W,80362,0.03500000000000003,0.41200000000000003,1,0.03500000000000003,0.41200000000000003,0.0,0.014420000000000014
Brand Z,59416,0.10000000000000003,0.10399999999999998,7,0.10000000000000003,0.10399999999999998,0.75,0.010400000000000001
Brand D,48545,0.245,0.368,9,0.245,0.368,1.0,0.09015999999999999
Brand W,60640,0.645,0.9840000000000001,1,0.645,0.9840000000000001,0.0,0.6346800000000001
Brand Z,94823,0.3325,0.824,7,0.3325,0.824,0.75,0.27398
Brand Y,39046,1.0,0.4640000000000001,3,1.0,0.4640000000000001,0.25,0.4640000000000001
Brand W,80807,0.4575,0.884,1,0.4575,0.884,0.0,0.40443
Brand D,44152,0.8275000000000001,0.14,9,0.8275000000000001,0.14,1.0,0.11585000000000002
Brand Z,52923,0.22000000000000003,0.7919999999999999,7,0.22000000000000003,0.7919999999999999,0.75,0.17424
Brand B,49126,0.875,0.42000000000000004,5,0.875,0.42000000000000004,0.5,0.36750000000000005
Brand A,79871,0.40249999999999997,0.9519999999999998,4,0.40249999999999997,0.9519999999999998,0.375,0.3831799999999999
Brand Y,64565,0.485,0.248,3,0.485,0.248,0.25,0.12028
Brand X,96840,0.27,0.7080000000000001,8,0.27,0.7080000000000001,0.875,0.19116000000000002
Brand D,59222,0.7675000000000001,0.07600000000000001,9,0.7675000000000001,0.07600000000000001,1.0,0.058330000000000014
Brand B,38150,0.635,0.016000000000000014,5,0.635,0.016000000000000014,0.5,0.01016000000000001
Brand E,37538,0.15000000000000002,0.5279999999999999,2,0.15000000000000002,0.5279999999999999,0.125,0.07919999999999999
Brand B,94784,0.08500000000000002,0.32400000000000007,5,0.08500000000000002,0.32400000000000007,0.5,0.027540000000000012
Brand B,90681,0.6900000000000001,0.23199999999999998,5,0.6900000000000001,0.23199999999999998,0.5,0.16008
Brand D,81189,0.8925000000000001,0.44799999999999995,9,0.8925000000000001,0.44799999999999995,1.0,0.39984
Brand B,33926,0.38750000000000007,0.236,5,0.38750000000000007,0.236,0.5,0.09145000000000002
Brand D,73434,0.845,0.84,9,0.845,0.84,1.0,0.7098
Brand B,50046,0.545,0.268,5,0.545,0.268,0.5,0.14606000000000002
Brand D,94527,0.20750000000000002,0.19200000000000006,9,0.20750000000000002,0.19200000000000006,1.0,0.039840000000000014
Brand W,94111,0.8125,0.38,1,0.8125,0.38,0.0,0.30875
Brand A,31181,0.8775,0.136,4,0.8775,0.136,0.375,0.11934
Brand Z,37351,0.19,0.11199999999999999,7,0.19,0.11199999999999999,0.75,0.021279999999999997
Brand Y,86551,0.07,0.7759999999999999,3,0.07,0.7759999999999999,0.25,0.05432
Brand Y,66206,0.6225,0.07999999999999996,3,0.6225,0.07999999999999996,0.25,0.049799999999999976
Brand A,71051,0.485,0.876,4,0.485,0.876,0.375,0.42486
Brand C,48022,0.09750000000000003,0.236,6,0.09750000000000003,0.236,0.625,0.023010000000000006
Brand C,89476,0.5975,0.8119999999999999,6,0.5975,0.8119999999999999,0.625,0.48517
Brand E,98144,0.30500000000000005,0.576,2,0.30500000000000005,0.576,0.125,0.17568
Brand Z,57238,0.04249999999999998,0.45200000000000007,7,0.04249999999999998,0.45200000000000007,0.75,0.019209999999999994
Brand E,93290,0.09000000000000002,1.0,2,0.09000000000000002,1.0,0.125,0.09000000000000002
Brand W,60377,0.25,0.18799999999999994,1,0.25,0.18799999999999994,0.0,0.046999999999999986
Brand Z,39260,0.275,0.30799999999999994,7,0.275,0.30799999999999994,0.75,0.08469999999999998
Brand Z,34022,0.5325,0.612,7,0.5325,0.612,0.75,0.32588999999999996
Brand A,31662,0.25750000000000006,0.5,4,0.25750000000000006,0.5,0.375,0.12875000000000003
Brand D,32407,0.64,0.08399999999999996,9,0.64,0.08399999999999996,1.0,0.053759999999999974
Brand C,92237,0.31000000000000005,0.7200000000000001,6,0.31000000000000005,0.7200000000000001,0.625,0.22320000000000007
Brand A,54785,0.10000000000000003,0.54,4,0.10000000000000003,0.54,0.375,0.05400000000000002
Brand W,34963,0.475,0.07200000000000001,1,0.475,0.07200000000000001,0.0,0.0342
Brand A,54414,0.2825,0.007999999999999952,4,0.2825,0.007999999999999952,0.375,0.002259999999999986
Brand Z,87011,0.09250000000000003,0.4159999999999999,7,0.09250000000000003,0.4159999999999999,0.75,0.03848000000000001
Brand A,46033,0.94,0.28400000000000003,4,0.94,0.28400000000000003,0.375,0.26696000000000003
Brand A,76676,0.6775,0.7279999999999999,4,0.6775,0.7279999999999999,0.375,0.4932199999999999
Brand E,40731,0.14750000000000002,0.504,2,0.14750000000000002,0.504,0.125,0.07434000000000002
Brand Y,43186,0.47750000000000004,0.828,3,0.47750000000000004,0.828,0.25,0.39537
Brand A,95882,0.38250000000000006,0.06,4,0.38250000000000006,0.06,0.375,0.02295
Brand W,34332,0.48,0.852,1,0.48,0.852,0.0,0.40896
Brand W,53068,0.6950000000000001,0.1479999999999999,1,0.6950000000000001,0.1479999999999999,0.0,0.10285999999999995
Brand A,68892,0.6225,0.588,4,0.6225,0.588,0.375,0.36603
Brand C,71916,0.8275000000000001,0.11599999999999999,6,0.8275000000000001,0.11599999999999999,0.625,0.09599
Brand E,88439,0.8375000000000001,0.42799999999999994,2,0.8375000000000001,0.42799999999999994,0.125,0.35845
Brand B,64747,0.8674999999999999,0.05199999999999999,5,0.8674999999999999,0.05199999999999999,0.5,0.04510999999999999
Brand W,86496,0.6675,0.3640000000000001,1,0.6675,0.3640000000000001,0.0,0.24297000000000007
Brand X,80716,0.6225,0.14400000000000002,8,0.6225,0.14400000000000002,0.875,0.08964000000000001
Brand B,55385,0.6,0.9319999999999998,5,0.6,0.9319999999999998,0.5,0.5591999999999999
Brand D,59933,0.9975,0.916,9,0.9975,0.916,1.0,0.9137100000000001
Brand A,92412,0.4375,0.62,4,0.4375,0.62,0.375,0.27125
Brand C,98367,0.9025000000000001,0.26,6,0.9025000000000001,0.26,0.625,0.23465000000000003
Brand E,48129,0.07500000000000001,0.7759999999999999,2,0.07500000000000001,0.7759999999999999,0.125,0.0582
Brand A,94547,0.20750000000000002,0.568,4,0.20750000000000002,0.568,0.375,0.11786
Brand W,95301,0.08000000000000002,0.356,1,0.08000000000000002,0.356,0.0,0.028480000000000005
Brand Y,30001,0.9125000000000001,0.44799999999999995,3,0.9125000000000001,0.44799999999999995,0.25,0.4088
Brand D,36707,0.5800000000000001,0.676,9,0.5800000000000001,0.676,1.0,0.3920800000000001
